Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Self,Ind_DE,PAC,National_Sub_Committees,sub_100,Candidate_Committee,Individual,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
0,KAREN HARTLEY-NAGLE,REPRESENTATIVE IN CONGRESS,D,38,0,2008,1003534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JACK MARKELL,GOVERNOR,D,67.5,1,2008,1001573,0,499453,3003050,0,24655,1325,442785,3971268,500,29991,1475240.68,61452.44,18343.44,2900707.76,46017.75,293424.13,757937.42,0,5583614.62
0,WILLIAM SWAIN LEE,GOVERNOR,R,32,0,2008,1001769,0,84586.3,14638,0,3970,2675,13671,119540.3,0,7994.45,30513.86,3942.61,26852.55,312367.41,36656.96,12243.97,49538.56,0,480110.37
0,JEFFREY BROWN,GOVERNOR,O,0.5,0,2008,1001851,0,300,900,0,390,0,0,1590,0,600,200,0,0,0,970,0,0,0,1770
0,MATTHEW DENN,LIEUTENANT GOVERNOR,D,61.3,1,2008,1000324,0,113025,25427.82,0,15481.49,1800,54450,210184.31,0,6848.85,173531.43,6593.43,9641.93,373121.23,62550.65,1651.81,18236.08,0,652175.41
0,MATTHEW DENN,LIEUTENANT GOVERNOR,D,61.3,1,2008,1003197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHARLES L. COPELAND,LIEUTENANT GOVERNOR,R,38.7,0,2008,1001803,0,275218,32275,0,42769,3650,39650,393562,25,3050,37829.74,13567.71,5252.3,375838.1,15916.82,10264.66,53787.35,0,515531.68
0,PETER K CULLEN,LIEUTENANT GOVERNOR,O,0,0,2008,1001598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,KAREN WELDIN STEWART,INSURANCE COMMISSIONER,D,57.5,1,2008,1000194,0,15400,50259.44,0,0,500,12450,78609.44,5038.81,900,21361,9933.43,1947.26,64136.57,6169.62,1278,2149.9,0,112914.59
0,JOHN F. BRADY,INSURANCE COMMISSIONER,R,41,0,2008,1000201,0,29400,12350,0,2920,1700,8350,54720,0,4214,8956.99,1033.6,0,51977.65,1854.26,2869.65,9843.46,0,80749.61
0,TOM SAVAGE,INSURANCE COMMISSIONER,O,1.5,0,2008,1000764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MARGARET ROSE HENRY,STATE SENATOR DISTRICT 2,D,100,1,2008,1000010,0,5995,3050,0,5675,300,1800,16820,0,1200,6809.53,4618.25,7104.87,2500,3781,933.37,100,0,27047.02
1,ROBERT I. MARSHALL,STATE SENATOR DISTRICT 3,D,100,1,2008,1000011,0,3350,1800,0,400,0,1650,7200,0,1200,1790,2061.8,2802.97,1635.24,2701.5,0,0,0,12191.51
0,MICHAEL S. KATZ,STATE SENATOR DISTRICT 4,D,50.7,1,2008,1001807,0,47336,4800,0,425,600,750,53911,1940,0,12550,3437.61,12195.51,139338.56,5412.13,1001.91,0,0,175875.72
0,JOHN D. CLATWORTHY,STATE SENATOR DISTRICT 4,R,49.3,0,2008,1001767,0,36125,17490,0,6750,2100,11050,73515,0,1809.12,6369,743.97,42978.65,109205.18,28344.1,837.5,8853.08,0,199140.6
1,LIANE SORENSON,STATE SENATOR DISTRICT 6,R,51.3,1,2008,1000013,0,20575,3240,0,9810,200,2100,35925,1590,2102,5004.68,2155,1113,62117.18,4140.05,2891.88,4814,0,85927.79
0,JOHN MACKENZIE,STATE SENATOR DISTRICT 6,D,48.7,0,2008,1001785,0,600,4344.61,0,804.19,0,0,5748.8,1590,100,0,121.5,2672.67,5740.36,1306.85,1214.18,0,0,12745.56
