,Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Committee_Name,Individual,sub_100,Candidate_Committee,Ind_DE,Self,PAC,National_Sub_Committees,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
0,0,KATHLEEN JENNINGS,ATTORNEY GENERAL,D,61.32,1.0,2018.0,1004199,Friends of Kathy Jennings,126071.6,32807.18,3600.0,444240.79,34000.0,100175.0,0.0,740894.57,5915.72,2550.0,58380.02,36490.97,18429.670000000002,566190.4199999999,10583.0,5449.719999999999,11722.400000000001,0.0,715711.9199999996
1,0,BERNARD V PEPUKAYI SR,ATTORNEY GENERAL,R,38.68,0.0,2018.0,1004457,Pepukayi '18,1950.0,2350.0,0.0,22550.0,0.0,25350.0,0.0,52200.0,0.0,0.0,1108.92,439.51,509.98,20079.41,13886.279999999999,89.34,12357.720000000001,0.0,48471.159999999996
2,0,COLLEEN DAVIS,STATE TREASURER,D,52.36,1.0,2018.0,1004380,Committee to Elect Colleen Davis,2685.0,9609.36,1100.0,26350.2,5000.0,42850.0,0.0,87594.56,0.0,515.96,1398.85,7010.19,414.0,43320.22,8754.5,862.0699999999999,6604.79,0.0,68880.57999999999
3,1,KENNETH A SIMPLER,STATE TREASURER,R,45.86,0.0,2018.0,1003002,THE SIMPLER CAMPAIGN  LLC,43375.0,16519.5,0.0,155850.0,0.0,26900.0,0.0,242644.5,110.0,6412.23,17796.03,27422.759999999897,35081.76,245710.50000000012,6744.13,5020.969999999998,26530.670000000006,0.0,370829.0499999992
4,0,DAVID B CHANDLER,STATE TREASURER,O,1.78,0.0,2018.0,1003190,David Chandler for Treasurer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,KATHLEEN K MCGUINESS,AUDITOR OF ACCOUNTS,D,57.9,1.0,2018.0,1004247,Friends of Kathy McGuiness          SA,32550.0,15619.0,19120.0,130227.08,5000.0,45944.0,0.0,248460.08,0.0,2740.0,13992.630000000001,6445.12,41615.75,103956.56,14099.07,664.77,37276.67999999999,0.0,220790.58000000002
6,0,JAMES SPADOLA,AUDITOR OF ACCOUNTS,R,42.1,0.0,2018.0,1004415,Spadola for Auditor,2900.0,5323.0,1650.0,27258.25,10000.0,27376.68,0.0,74507.93,4426.68,200.0,3274.42,65.48,20.99,29600.610000000004,12613.16,268.9,7180.0,0.0,57650.24000000001
7,0,DARIUS BROWN,STATE SENATOR DISTRICT 2,D,100.0,1.0,2018.0,1004370,Darius Brown for State Senate,2000.0,2250.0,0.0,13400.0,0.0,4825.0,0.0,22475.0,1811.0,0.0,0.0,825.0,4197.0,1672.0,2032.5,0.0,0.0,106.3,10643.8
8,0,S ELIZABETH LOCKMAN,STATE SENATOR DISTRICT 3,D,100.0,1.0,2018.0,1004150,Friends of Elizabeth Lockman,2494.0,7329.029999999998,3200.0,23354.0,0.0,10600.0,0.0,46977.030000000006,2311.0,1400.0,4545.13,1486.66,7356.37,29272.309999999998,9112.32,4296.199999999999,10192.5,7554.240000000001,77526.72999999998
9,0,LAURA STURGEON,STATE SENATOR DISTRICT 4,D,53.13,1.0,2018.0,1004053,Friends of Laura Sturgeon,3450.0,16414.8,5323.0,45332.0,0.0,17575.0,0.0,88094.80000000002,1811.0,0.0,6565.5,5158.390000000001,42098.93,48844.979999999996,15317.820000000002,809.2300000000001,13475.0,2243.5600000000004,136324.40999999997
10,1,GREGORY F LAVELLE,STATE SENATOR DISTRICT 4,R,46.87,0.0,2018.0,1000196,Citizens For Lavelle,6950.0,3590.0,1316.24,65825.0,35000.0,23281.5,0.0,135962.74,1811.0,1790.0,5588.5199999999995,8607.720000000001,38608.0,92687.45,32348.87,282.64,6454.98,4017.88,192197.05999999997
11,1,ERNESTO B LOPEZ,STATE SENATOR DISTRICT 6,R,52.67,1.0,2018.0,1002575,Lopez for Senate,3450.0,3805.0,0.0,21850.0,0.0,16600.0,0.0,45705.0,0.0,6921.0,16575.89,2638.280000000001,5479.0199999999995,11235.69,26761.53,1268.35,0.0,0.0,70879.75999999998
12,0,DAVID B BAKER,STATE SENATOR DISTRICT 6,D,47.33,0.0,2018.0,1004202,Committee to Elect  Baker,5400.0,17781.190000000006,600.0,32834.05,5500.0,8450.0,1800.0,72365.23999999999,0.0,3311.0,658.33,10116.249999999998,3302.56,24936.909999999996,13525.579999999998,880.4800000000001,0.0,0.0,56731.11
13,0,STEPHANIE L HANSEN,STATE SENATOR DISTRICT 10,D,62.06,1.0,2018.0,1003898,Friends for Hansen,7297.669999999999,256.72,2900.0,11655.0,0.0,18650.0,0.0,40759.38999999999,1811.0,1100.0,20979.609999999997,22351.050000000003,22557.980000000003,199616.68000000002,30697.21,5421.94,6905.84,264.0,311705.3099999998
14,0,CHRISTINE METZING,STATE SENATOR DISTRICT 10,R,37.94,0.0,2018.0,1004377,Metzing For Delaware,1350.0,2940.0,1200.0,11250.0,15000.33,2900.0,0.0,34640.33,1811.0,0.0,754.92,2260.46,18.0,9959.49,17832.77,63.35,0.0,28.93,32728.91999999999
15,1,BRYAN TOWNSEND,STATE SENATOR DISTRICT 11,D,75.75,1.0,2018.0,1002581,Townsend for Delaware Senate,7800.0,400.0,1100.0,26850.0,4000.0,15900.0,0.0,56050.0,1811.0,2160.0,1322.67,1688.67,4670.0,17353.0,6443.0,0.0,15545.0,1093.5,52086.83999999995
